Date,Mkt-RF
19981222,0
19981223,1.93
19981224,-0.07
19981228,0.16
19981229,1.14
19981230,-0.5
19981231,0.43
19990104,-0.19
19990105,1.1
19990106,2.1
19990107,-0.07
19990108,0.45
19990111,-0.52
19990112,-1.85
19990113,-0.54
19990114,-1.66
19990115,2.28
19990119,0.8
19990120,0.24
19990121,-1.82
19990122,-0.66
19990125,0.67
19990126,1.39
19990127,-0.74
19990128,1.63
19990129,0.95
19990201,-0.39
19990202,-0.89
19990203,0.9
19990204,-1.92
19990205,-0.92
19990208,0.23
19990209,-2.25
19990210,0.27
19990211,2.49
19990212,-1.9
19990216,0.65
19990217,-1.45
19990218,0.92
19990219,0.25
19990222,2.41
19990223,0.09
19990224,-1.31
19990225,-0.69
19990226,-0.49
19990301,-0.01
19990302,-0.69
19990303,0.01
19990304,1.34
19990305,2.04
19990308,0.66
19990309,-0.23
19990310,0.52
19990311,0.73
19990312,-0.32
19990315,0.94
19990316,-0.15
19990317,-0.55
19990318,1.27
19990319,-1.32
19990322,-0.33
19990323,-2.64
19990324,0.51
19990325,1.78
19990326,-0.5
19990329,1.98
19990330,-0.63
19990331,-0.86
19990401,0.54
19990405,1.87
19990406,-0.26
19990407,0.42
19990408,1.27
19990409,0.43
19990412,0.87
19990413,-0.34
19990414,-1.43
19990415,-0.39
19990416,-0.23
19990419,-2.48
19990420,1.38
19990421,2.53
19990422,1.35
19990423,0.11
19990426,0.44
19990427,0.09
19990428,-0.88
19990429,-0.45
19990430,-0.47
19990503,1.1
19990504,-1.49
19990505,1.03
19990506,-1.15
19990507,0.89
19990510,-0.03
19990511,1.19
19990512,0.65
19990513,0.23
19990514,-2.14
19990517,0.15
19990518,-0.4
19990519,0.82
19990520,-0.36
19990521,-0.57
19990524,-1.93
19990525,-1.81
19990526,1.41
19990527,-1.43
19990528,1.53
19990601,-0.8
19990602,0.13
19990603,0.12
19990604,2.03
19990607,0.71
19990608,-1.23
19990609,0.16
19990610,-1.2
19990611,-0.8
19990614,-0.49
19990615,0.52
19990616,2.26
19990617,0.72
19990618,0.22
19990621,0.63
19990622,-0.93
19990623,-0.14
19990624,-1.31
19990625,-0.06
19990628,1.23
19990629,1.49
19990630,1.6
19990701,0.55
19990702,0.73
19990706,-0.08
19990707,0.22
19990708,0.03
19990709,0.54
19990712,-0.24
19990713,-0.39
19990714,0.46
19990715,0.83
19990716,0.48
19990719,-0.82
19990720,-2.22
19990721,0.27
19990722,-1.33
19990723,-0.32
19990726,-1.02
19990727,1.12
19990728,0.15
19990729,-1.75
19990730,-0.72
19990802,-0.27
19990803,-0.79
19990804,-1.45
19990805,0.63
19990806,-1
19990809,-0.41
19990810,-1.16
19990811,1.63
19990812,-0.14
19990813,2.21
19990816,0.26
19990817,0.97
19990818,-0.75
19990819,-0.78
19990820,0.89
19990823,1.76
19990824,0.18
19990825,1.21
19990826,-1.18
19990827,-0.99
19990830,-1.78
19990831,-0.17
19990901,0.76
19990902,-0.86
19990903,2.84
19990907,-0.34
19990908,-0.55
19990909,0.31
19990910,0.44
19990913,-0.64
19990914,-0.52
19990915,-1.28
19990916,-0.2
19990917,1.22
19990920,0
19990921,-1.93
19990922,0.29
19990923,-2.35
19990924,-0.19
19990927,0.42
19990928,-0.23
19990929,-0.8
19990930,0.92
19991001,-0.16
19991004,1.66
19991005,-0.09
19991006,1.82
19991007,-0.47
19991008,1.09
19991011,0.21
19991012,-1.72
19991013,-2.04
19991014,-0.02
19991015,-2.65
19991018,0.09
19991019,0.76
19991020,1.86
19991021,-0.16
19991022,1.31
19991025,-0.43
19991026,-0.85
19991027,0.89
19991028,3.32
19991029,1.73
19991101,-0.38
19991102,-0.33
19991103,0.69
19991104,0.66
19991105,0.79
19991108,0.59
19991109,-0.78
19991110,0.53
19991111,0.37
19991112,1.1
19991115,0.03
19991116,1.84
19991117,-0.63
19991118,1.13
19991119,-0.11
19991122,0.02
19991123,-1.29
19991124,0.87
19991126,0.23
19991129,-0.6
19991130,-1.28
19991201,0.49
19991202,1.15
19991203,1.59
19991206,-0.42
19991207,-0.43
19991208,-0.08
19991209,0.3
19991210,0.51
19991213,0.05
19991214,-1.33
19991215,0.54
19991216,0.61
19991217,0.27
19991220,-0.08
19991221,1.44
19991222,0.33
19991223,1.3
19991227,-0.21
19991228,0.21
19991229,0.64
19991230,0.08
19991231,0.52
20000103,-0.71
20000104,-4.06
20000105,-0.09
20000106,-0.73
20000107,3.21
20000110,1.76
20000111,-1.71
20000112,-0.69
20000113,1.59
20000114,1.15
20000118,-0.26
20000119,0.44
20000120,-0.37
20000121,0.23
20000124,-2.59
20000125,0.49
20000126,-0.44
20000127,-0.44
20000128,-2.82
20000131,1.5
20000201,1.29
20000202,0.16
20000203,1.49
20000204,-0.05
20000207,0.35
20000208,1.23
20000209,-1.83
20000210,0.57
20000211,-1.74
20000214,0.24
20000215,0.7
20000216,-0.58
20000217,0.46
20000218,-2.69
20000222,0.11
20000223,1.24
20000224,0.01
20000225,-1.04
20000228,0.76
20000229,1.96
20000301,1.39
20000302,-0.09
20000303,2.3
20000306,-0.77
20000307,-2.2
20000308,0.69
20000309,2.45
20000310,-0.43
20000313,-1.48
20000314,-2.33
20000315,0.83
20000316,4.25
20000317,0.62
20000320,-1.71
20000321,1.95
20000322,1.31
20000323,1.48
20000324,0.11
20000327,-0.39
20000328,-1.34
20000329,-1
20000330,-1.76
20000331,1.19
20000403,-1.67
20000404,-1.2
20000405,0.01
20000406,1.47
20000407,1.42
20000410,-1.95
20000411,-1.01
20000412,-2.97
20000413,-1.8
20000414,-6.72
20000417,2.94
20000418,3.84
20000419,-0.8
20000420,0.09
20000424,-1.01
20000425,3.74
20000426,-1.23
20000427,0.76
20000428,0.07
20000501,1.4
20000502,-2.07
20000503,-2.09
20000504,0
20000505,1.48
20000508,-0.98
20000509,-1.19
20000510,-2.7
20000511,2.08
20000512,0.81
20000515,2.13
20000516,1.3
20000517,-1.38
20000518,-1.09
20000519,-2.39
20000522,-0.73
20000523,-2.38
20000524,1.55
20000525,-1.29
20000526,-0.18
20000530,3.82
20000531,-0.22
20000601,2.5
20000602,2.91
20000605,-0.37
20000606,-0.87
20000607,1.16
20000608,-0.6
20000609,0.04
20000612,-1.19
20000613,1.45
20000614,-0.16
20000615,0.5
20000616,-0.74
20000619,1.66
20000620,-0.25
20000621,0.36
20000622,-1.88
20000623,-0.99
20000626,0.92
20000627,-0.55
20000628,0.77
20000629,-0.67
20000630,0.74
20000703,0.91
20000705,-1.6
20000706,0.87
20000707,1.46
20000710,-0.13
20000711,0.12
20000712,1.31
20000713,0.51
20000714,0.94
20000717,0.1
20000718,-1.35
20000719,-1.19
20000720,1.33
20000721,-1.3
20000724,-1.44
20000725,0.51
20000726,-1.33
20000727,-0.9
20000728,-2.33
20000731,1.03
20000801,0.16
20000802,0.02
20000803,1.11
20000804,0.89
20000807,1.16
20000808,0.1
20000809,-0.6
20000810,-1.03
20000811,0.86
20000814,1.24
20000815,-0.46
20000816,-0.18
20000817,1.12
20000818,-0.28
20000821,0.4
20000822,-0.01
20000823,0.55
20000824,0.34
20000825,-0.04
20000828,0.49
20000829,-0.03
20000830,-0.11
20000831,1.19
20000901,0.38
20000905,-0.97
20000906,-1.23
20000907,0.8
20000908,-0.83
20000911,-0.45
20000912,-0.5
20000913,0.29
20000914,0.01
20000915,-1.23
20000918,-1.8
20000919,1.24
20000920,-0.39
20000921,-0.54
20000922,0.4
20000925,-0.56
20000926,-0.96
20000927,-0.21
20000928,2.32
20000929,-1.26
20001002,-0.7
