Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
12/22/98,12.881685,14.553748,9.563667,15.818636,25.008554,16.396906,14.02899,18.487051,19.692347,81.601967
12/23/98,13.016976,14.856742,9.704691,16.094658,25.60602,16.793295,13.970206,18.902487,19.776922,83.313499
12/24/98,13.316548,14.778561,9.768794,16.306993,25.508471,16.764292,14.22741,19.017885,20.139355,82.954323
12/28/98,13.200579,14.700367,9.640586,16.391918,25.581635,16.667618,14.153929,18.740925,19.958132,82.742989
12/29/98,13.442181,14.846981,9.74315,16.625483,25.6548,17.034994,14.389091,19.156361,20.393049,84.053032
12/30/98,13.403522,14.622177,9.704691,16.551174,25.557247,16.928652,14.271503,18.994801,20.223921,83.3769
12/31/98,13.558142,14.60263,9.614954,16.689182,25.459702,16.802961,14.220064,19.202518,20.199757,83.3769
1/4/99,13.393861,14.592853,9.614954,16.455622,25.75235,16.667618,13.992253,19.156361,20.078945,83.186729
1/5/99,13.722424,14.514661,9.704691,16.795353,26.410776,16.793295,14.161272,19.456408,20.417206,84.137527
1/6/99,13.964015,14.993591,10.012368,17.156311,27.191162,16.996321,14.308251,19.779524,20.997114,86.165947
1/7/99,13.857714,14.925177,10.166208,17.007675,27.105806,16.802961,14.256801,19.687202,20.972952,85.743378
1/8/99,14.331239,14.993591,10.230307,17.135077,27.215549,16.735292,14.337647,19.929537,20.997114,86.377289
1/11/99,14.36023,14.710141,10.076471,16.975836,27.483791,16.396906,13.955511,19.975706,20.888386,85.553253
1/12/99,13.993008,14.485339,9.794433,16.77412,26.740005,16.271223,13.962854,19.894917,20.344727,84.010773
1/13/99,13.683774,14.270303,9.666235,16.349461,26.727808,16.30023,14.058389,19.710274,20.441372,83.419151
1/14/99,13.45184,13.996623,9.422651,16.275141,26.362013,15.990859,13.823226,19.548729,19.982296,81.961227
1/15/99,13.654779,14.211658,9.69187,16.551174,27.142385,16.164883,13.88937,19.814146,20.236,84.095291
1/19/99,13.403522,14.211658,9.640586,16.519316,28.081268,15.981181,14.35969,20.379604,20.223921,84.644653
1/20/99,13.355201,14.09436,9.711102,16.445002,28.337334,16.029522,14.3009,20.494993,20.562199,85.320786
1/21/99,13.297228,14.211658,9.538032,16.306993,27.60573,15.787828,14.249457,19.779524,20.368887,83.059952
1/22/99,13.036302,14.133462,9.473932,15.988495,27.118,15.710478,14.344996,19.698742,20.465546,82.869736
1/25/99,13.297228,14.113914,9.550846,16.253906,27.593529,15.671809,13.808531,19.860304,20.417206,83.714973
1/26/99,13.258571,13.977073,9.557259,16.253906,28.703136,16.039192,14.080437,19.952625,20.900459,85.236305
1/27/99,13.152263,13.722948,9.435472,16.381306,28.093473,16.251883,13.867315,19.756447,20.876305,84.24321
1/28/99,12.987985,13.644759,9.576491,16.402542,29.081137,16.541924,13.88937,20.125723,21.093769,85.658882
1/29/99,13.055633,13.644759,9.781607,16.508707,29.507883,16.580597,13.867315,20.125723,21.238731,86.313889
2/1/99,13.161928,13.507915,9.614954,16.529945,29.53229,16.512917,13.83792,20.241121,21.287069,85.806747
2/2/99,13.171592,13.52746,9.512393,16.402542,29.032349,16.648272,13.654202,19.94108,21.021278,85.278534
2/3/99,13.181258,13.840237,9.582899,16.561792,29.239647,16.590265,13.727689,20.321907,21.359549,86.144844
2/4/99,13.567802,13.918429,9.358552,16.583019,28.239786,16.512917,13.521922,20.171883,21.238731,84.855942
2/5/99,13.751417,14.309394,9.281631,16.529945,27.556959,16.261557,13.529265,19.94108,20.707161,83.883972
2/8/99,13.683774,14.50488,9.255991,16.583019,28.020311,16.232553,13.529265,19.929537,21.045431,84.053032
2/9/99,13.422856,14.231208,9.127792,16.360075,26.922899,15.942512,13.588058,19.571802,20.393049,82.172508
2/10/99,13.45184,14.270303,9.204713,16.423779,27.118,16.058531,13.492525,19.617964,20.393049,82.700745
2/11/99,13.316548,14.153015,9.576491,16.646729,28.264172,16.329231,13.551316,20.148804,21.057528,84.602402
2/12/99,13.248899,13.859785,9.435472,16.551174,27.142385,16.193876,13.330855,19.84877,20.682997,83.588165
2/16/99,13.123275,13.762037,9.576491,16.636106,27.020443,16.387241,13.573366,20.033405,20.948786,83.081078
2/17/99,12.987985,13.625203,9.614954,16.636106,26.410776,16.222881,13.477832,19.82568,20.876305,82.996574
2/18/99,13.084624,13.664299,9.711102,16.636106,26.557104,16.396906,13.720341,20.079567,20.900459,83.65155
2/19/99,13.19092,13.586113,9.74315,16.742271,26.800964,16.329231,13.573366,20.137259,21.009192,84.010773
2/22/99,13.413183,13.722948,10.025186,16.997063,27.75205,16.677277,14.014297,20.564241,21.54077,86.250481
2/23/99,13.297228,13.605657,10.153387,16.986448,28.117838,16.648272,13.573366,20.529613,21.432037,86.208244
2/24/99,13.258571,13.547009,9.820071,16.943981,27.337475,16.551598,13.698291,20.287285,21.166254,84.686928
2/25/99,13.258571,13.615429,9.755972,16.604256,27.410641,16.358229,13.404342,20.091106,20.924627,83.883972
2/26/99,13.258571,13.52746,9.935444,16.657339,26.581499,16.406584,13.485176,20.148804,21.105846,83.545898
3/1/99,13.103948,13.39062,9.973907,16.646729,26.459557,16.329231,13.286758,20.114183,21.117929,83.778351
3/2/99,12.987985,13.253783,9.99955,16.508707,25.75235,16.280888,13.088339,20.102644,21.166254,83.038803
3/3/99,12.901011,13.547009,9.9034,16.413157,26.191301,16.280888,13.095691,19.975706,21.057528,83.482529
3/4/99,12.939663,14.035722,10.127748,16.731655,26.459557,16.503254,13.301452,20.333445,21.504526,84.538979
3/5/99,13.374527,14.299617,10.384146,17.103226,27.069225,16.754623,13.529265,20.795038,22.156904,86.239914
3/8/99,13.461503,14.50488,10.313634,17.198782,27.849602,16.831961,13.374945,20.818129,22.253557,86.799858
3/9/99,13.345533,14.348496,10.396967,17.283718,27.556959,16.851299,13.338197,20.656565,22.313961,86.588554
3/10/99,13.529149,15.169528,10.589271,17.251852,27.556959,16.667618,13.294108,20.841204,22.253557,87.349258
3/11/99,13.674103,15.384561,10.64055,17.273087,27.508181,16.831961,13.39699,20.979673,22.49518,88.321182
3/12/99,13.616122,15.325915,10.659774,17.326181,27.264311,16.976988,13.543967,20.864275,22.591833,87.476013
3/15/99,13.645115,15.208623,10.691831,17.283718,27.703274,17.122011,13.580715,20.933517,22.640156,88.722633
3/16/99,13.587133,15.130433,10.537985,17.166933,28.178823,17.19935,13.529265,20.887362,22.519346,88.38456
3/17/99,13.548477,15.521398,10.448248,17.135077,27.99593,16.909311,13.404342,20.771961,22.422691,88.004204
3/18/99,13.838387,15.716882,10.691831,17.177549,28.386101,17.19935,13.60276,21.060465,22.809288,89.419937
3/19/99,13.855843,15.557579,10.488835,17.284279,27.703274,17.123178,13.351963,20.968138,22.495428,87.899994
3/22/99,13.894624,15.655669,10.514546,17.156403,27.703274,17.113506,13.396342,20.910439,22.253529,88.069405
3/23/99,13.545566,15.381002,10.154634,16.751471,26.898521,16.629253,12.974706,20.333445,21.576252,85.527756
3/24/99,13.555255,15.302533,10.128922,16.708853,27.422831,16.619562,13.152242,20.425758,21.406931,86.014893
3/25/99,13.603738,15.341772,10.360301,16.890005,28.069082,16.745466,13.107858,20.771961,22.060022,87.772896
3/26/99,13.497083,15.537955,10.270317,16.932631,27.922758,16.687357,12.937721,20.610395,21.9149,87.137451
3/29/99,13.720089,15.969567,10.50169,17.20969,28.971384,16.900431,12.871143,20.864275,22.447042,88.895493
3/30/99,13.691003,15.675287,10.37958,17.199028,28.922609,16.755159,12.664021,20.795038,22.471226,88.429482
3/31/99,13.497083,15.439871,10.257464,17.007219,28.556807,16.387119,12.634438,20.679642,22.132589,87.010376
4/1/99,13.65222,15.42024,10.283167,17.18837,29.007969,16.41617,12.900736,20.679642,22.108404,87.667007
4/5/99,13.817058,15.792992,10.488835,17.561346,30.007818,16.503347,13.004294,21.141245,22.398661,89.742722
4/6/99,13.574653,15.636045,10.411714,17.465437,30.26388,16.319328,12.937721,21.164318,22.519602,89.530922
4/7/99,13.720089,15.479096,10.694499,17.4974,30.190722,16.299961,13.107858,21.568214,22.713123,90.251053
4/8/99,13.914012,15.636045,10.887304,17.593306,30.48336,16.677683,13.455523,21.787487,23.221075,91.394768
4/9/99,13.846147,15.930337,10.861599,17.603968,30.434591,16.716417,13.359363,21.856716,23.438778,91.415977
4/12/99,14.253385,16.048035,11.054417,18.030203,29.971243,16.997284,13.551688,22.410641,23.63229,92.390289
4/13/99,14.427907,16.028421,11.041554,18.168743,29.507883,17.055386,13.329784,22.179838,23.511343,91.797226
4/14/99,15.12604,15.832231,10.900161,18.563013,28.776297,16.542084,13.137442,21.972124,22.979197,90.251053
4/15/99,15.707811,16.518896,10.797325,19.042542,29.020153,16.135311,13.270604,21.418201,22.930819,89.912148
4/16/99,15.882336,17.038778,10.745911,19.149109,28.239786,16.2031,13.418545,21.210472,23.003382,89.149635
4/19/99,16.047174,17.24478,10.745911,19.308945,26.874123,15.525149,13.551688,20.633474,22.495428,87.772896
4/20/99,15.853251,16.970114,10.887304,19.181072,27.556959,15.815703,13.699626,21.025839,22.785685,88.874283
4/21/99,15.92113,16.715073,11.054417,19.245007,28.288565,16.319328,13.943735,21.510521,23.172705,91.415977
4/22/99,15.669029,17.009354,11.170096,19.255672,29.593246,16.522705,13.899361,21.949039,23.233175,92.284393
4/23/99,15.901734,16.793549,11.131533,19.404856,29.654217,16.493656,13.891966,22.445253,23.487154,92.051384
4/26/99,15.746593,16.420794,10.964431,19.383541,30.410202,16.377436,13.817987,22.410641,23.34202,92.58091
4/27/99,16.05687,16.940689,11.157241,19.479446,29.654217,16.396811,13.899361,22.43371,23.402496,93.025711
4/28/99,16.910137,17.499821,11.09297,19.724537,29.26403,16.15469,13.840178,21.833637,23.317841,91.754883
4/29/99,17.036182,18.029524,11.131533,19.799129,28.9592,16.028772,14.039907,21.579758,22.785685,91.055893
4/30/99,16.832567,17.725433,10.977285,19.564693,28.727522,15.815703,13.854979,21.418201,22.713123,90.314575
5/3/99,17.220419,18.166853,11.105824,19.948324,28.971384,16.183733,14.062101,21.833637,23.269457,91.96666
